id,Cost,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,cleanliness_rating,guest_satisfaction,bedrooms,dist,metro_dist,lng,lat
1006,275.654767452698,Entire home/apt,False,False,2,False,1,10,91,0,4.76,0.113,2.292,48.872
1007,492.357162829713,Entire home/apt,False,False,3,False,1,7,53,1,3.332,0.145,2.31,48.847
1008,246.295088079038,Entire home/apt,False,False,2,False,0,10,92,0,4.767,0.264,2.295,48.876
1009,312.936899990679,Entire home/apt,False,False,2,True,0,10,94,0,4.466,0.16,2.304,48.881
1010,257.945754497157,Entire home/apt,False,False,2,False,0,8,87,0,1.03,0.117,2.34,48.853
1011,394.025538260788,Entire home/apt,False,False,3,False,0,9,95,1,4.721,0.133,2.298,48.879
1012,273.557647497436,Entire home/apt,False,False,2,False,0,10,93,0,5.6,0.359,2.289,48.884
1013,312.703886662317,Entire home/apt,False,False,2,False,0,10,100,1,3.36,0.286,2.307,48.859
1014,318.529219871376,Entire home/apt,False,False,2,True,0,10,97,1,2.991,0.249,2.314,48.848
1015,261.440954422593,Private room,False,True,2,True,1,10,96,0,4.16,0.272,2.298,48.847
1016,193.168049212414,Private room,False,True,2,True,0,10,99,1,5.587,0.449,2.286,48.881
1017,329.480846304408,Private room,False,True,4,False,1,9,93,1,4.852,0.235,2.296,48.879
1018,243.498928138689,Private room,False,True,2,False,1,10,87,1,4.852,0.235,2.296,48.879
1019,243.498928138689,Private room,False,True,2,False,1,9,93,1,4.852,0.235,2.296,48.879
1020,303.616366856184,Private room,False,True,3,False,1,10,100,1,4.852,0.235,2.296,48.879
1021,254.217541243359,Private room,False,True,2,True,1,10,96,1,4.193,0.249,2.298,48.846
1022,243.265914810327,Entire home/apt,False,False,4,False,0,9,95,1,3.595,0.129,2.309,48.842
1023,229.518128436946,Private room,False,True,2,False,1,9,89,1,2.273,0.153,2.331,48.842
1024,356.743405722807,Entire home/apt,False,False,2,False,0,9,91,1,3.982,0.369,2.302,48.844
1025,504.240842576195,Entire home/apt,False,False,4,False,0,10,96,1,4.174,0.135,2.302,48.873
1026,440.395190604902,Entire home/apt,False,False,4,False,0,10,93,1,4.045,0.304,2.304,48.874
1027,388.200205051729,Entire home/apt,False,False,2,True,0,10,98,1,2.239,0.055,2.329,48.844
1028,345.32575263305,Entire home/apt,False,False,2,False,0,8,84,1,3.098,0.289,2.317,48.842
1029,266.567247646565,Entire home/apt,False,False,2,False,0,9,90,1,2.279,0.17,2.331,48.842
1030,751.23497064032,Entire home/apt,False,False,4,True,0,9,98,2,1.93,0.131,2.327,48.853
1031,1100.98797651225,Entire home/apt,False,False,5,True,1,10,96,2,2.863,0.192,2.316,48.849
1032,496.085376083512,Private room,False,True,2,False,1,10,100,1,4.25,0.258,2.301,48.874
1033,996.831018734271,Entire home/apt,False,False,2,True,0,10,100,1,4.978,0.364,2.294,48.879
1034,591.154814055364,Private room,False,True,2,False,1,10,60,1,4.202,0.194,2.302,48.874
1035,260.741914437505,Entire home/apt,False,False,2,False,1,9,87,1,2.29,0.646,2.343,48.837
1036,370.72420542455,Entire home/apt,False,False,2,False,0,10,97,0,2.453,0.074,2.322,48.848
1037,345.092739304688,Private room,False,True,2,False,0,9,85,0,1.195,0.066,2.338,48.852
1038,665.253052474601,Private room,False,True,3,False,1,10,100,1,4.133,0.156,2.302,48.873
1039,324.354553080436,Entire home/apt,False,False,4,False,0,10,100,1,2.481,0.265,2.32,48.851
1040,194.333115854226,Entire home/apt,False,False,2,False,1,7,80,1,3.693,0.58,2.303,48.86
1041,394.025538260788,Entire home/apt,False,False,2,False,0,9,91,1,2.642,0.22,2.321,48.845
1042,1686.55047068692,Entire home/apt,False,False,4,False,0,9,94,2,1.833,0.349,2.332,48.847
1043,567.620467890763,Entire home/apt,False,False,4,False,0,10,96,1,1.287,0.171,2.338,48.851
1044,1634.35548513374,Entire home/apt,False,False,6,False,1,10,100,3,2.619,0.328,2.317,48.859
1045,541.056948457451,Entire home/apt,False,False,4,False,1,10,100,2,2.276,0.11,2.329,48.843
1046,457.638176903718,Private room,False,True,2,False,0,10,100,1,1.246,0.124,2.338,48.851
1047,614.223133563239,Entire home/apt,False,False,2,False,0,9,75,1,1.203,0.157,2.337,48.854
1048,280.548047348308,Entire home/apt,False,False,2,False,0,9,90,1,3.611,0.138,2.306,48.846
1049,315.267033274303,Entire home/apt,False,False,4,False,0,9,91,1,5.38,0.575,2.29,48.881
1050,385.870071768105,Entire home/apt,False,False,2,False,0,10,100,1,4.678,0.207,2.296,48.876
1051,1228.44626712647,Entire home/apt,False,False,6,False,1,10,98,2,1.77,0.228,2.329,48.856
1052,370.72420542455,Entire home/apt,False,False,4,True,0,9,93,1,4.214,0.221,2.303,48.838
1053,405.443191350545,Entire home/apt,False,False,4,False,0,9,95,1,4.282,0.411,2.297,48.868
1054,237.207568272905,Entire home/apt,False,False,2,False,0,9,91,0,3.709,0.076,2.304,48.848
1055,252.35343461646,Entire home/apt,False,False,3,True,0,10,96,1,3.748,0.294,2.309,48.839
1056,253.285487929909,Entire home/apt,False,False,2,False,0,10,97,1,4.097,0.291,2.299,48.847
1057,424.317270947898,Private room,False,True,2,False,1,10,100,1,2.292,0.174,2.331,48.842
1058,454.142976978283,Private room,False,True,2,False,1,10,100,1,2.378,0.092,2.33,48.842
1059,279.849007363221,Private room,False,True,2,False,1,9,87,1,4.541,0.189,2.302,48.88
1060,241.867834840152,Entire home/apt,False,False,5,False,0,9,95,1,4.233,0.267,2.303,48.838
1061,227.187995153322,Entire home/apt,False,False,2,False,0,9,91,1,4.264,0.138,2.3,48.873
1062,302.451300214372,Entire home/apt,False,False,3,False,0,10,80,1,5.608,0.543,2.287,48.882
1063,312.936899990679,Entire home/apt,False,False,2,False,0,8,73,1,2.383,0.175,2.327,48.843
1064,534.06654860658,Entire home/apt,False,False,3,False,0,4,40,1,3.336,0.351,2.308,48.86
1065,647.777052847422,Private room,False,True,2,False,1,6,80,1,3.814,0.374,2.305,48.871
1066,522.415882188461,Entire home/apt,False,False,3,False,1,9,89,1,3.414,0.325,2.306,48.859
1067,1112.63864293037,Entire home/apt,False,False,4,True,0,10,100,1,3.938,0.299,2.303,48.87
1068,260.042874452418,Entire home/apt,False,False,3,False,0,9,75,0,5.251,0.308,2.283,48.867
1069,938.810699972038,Entire home/apt,False,False,6,False,0,9,91,2,3.76,0.268,2.304,48.866
1070,520.318762233199,Entire home/apt,False,False,2,False,0,10,92,1,5.056,0.159,2.287,48.87
1071,685.991238698853,Entire home/apt,False,False,2,False,0,10,100,1,5.132,0.153,2.286,48.871
1072,295.4609003635,Entire home/apt,False,False,2,False,1,10,95,1,3.695,0.391,2.313,48.877
1073,317.597166557927,Entire home/apt,False,False,2,False,0,8,70,0,3.897,0.624,2.3,48.858
1074,344.160685991238,Entire home/apt,False,False,2,False,0,10,90,1,3.035,0.193,2.312,48.852
1075,405.676204678907,Private room,False,True,2,False,0,10,100,1,4.822,0.224,2.296,48.878
