Proprety_name,Year_Built,Property_Type,Tax (dollars/year),Total_room,Bedroom,Bathroom,Price (euros),Prop_size (m^2)
Paris 16 - Art Deco apartment,1950.0,apartment,2113.0,5.0,3.0,5.0,1644999.0,148
Paris 8th - Golden Triangle - Luxurious apartment with terraces,1984.0,apartment,2293.0,3.0,2.0,2.0,1620000.0,96
Perfect Pied-Ã -terre / Rive Gauche,1910.0,apartment,1534.0,4.0,2.0,2.0,1599999.0,90
Family apartment to renovate - Porte Maillo,1970.0,apartment,2875.0,5.0,3.0,2.0,1599999.0,125
Paris 9 - Appartement 4 piÃ¨ces 3 chambres de 125mÂ²,1880.0,apartment,2601.0,4.0,3.0,3.0,1599999.0,123
Place VendÃ´me perfect pied-Ã -terre,1833.0,apartment,2550.0,3.0,2.0,1.0,1598999.0,84
Paris 6 - rue Vavin-jardin du Luxembourg,1900.0,apartment,2601.0,5.0,3.0,2.0,1590000.0,96
"Superb pied-Ã -terre on avenue d'IÃ©na to renovate, Paris XVI.",1940.0,apartment,2601.0,3.0,1.0,4.0,1590000.0,133
PARIS 8TH - Saint Augustin,1890.0,apartment,2565.0,5.0,3.0,3.0,1579999.0,129
Paris 9 - Place Saint Georges - elegant apartment like a boutique hÃ´tel suite,1840.0,apartment,2601.0,5.0,1.0,2.0,1550000.0,106
Apartment for sale in Paris 3rd arr. - rue des Tournelles.,1855.0,apartment,1821.0,5.0,3.0,2.0,1529999.0,127
Paris 16 - Family apartment with terrace,1969.0,apartment,1654.0,7.0,4.0,5.0,1520000.0,168
Apartment in Paris 2nd - Place des Victoires,1870.0,apartment,2601.0,5.0,3.0,2.0,1520000.0,102
Appartement de rÃ©ception avenue de la Grande ArmÃ©e,1887.0,apartment,2601.0,3.0,1.0,2.0,1495000.0,128
Familial apartment- 75017/Niel,1881.0,apartment,3365.0,6.0,4.0,3.0,1489999.0,141
Appartement familial - Vue dÃ©gagÃ©e - Paris XVI,1960.0,apartment,2601.0,5.0,3.0,3.0,1489999.0,124
Renovated and bright top floor apartment with a view of Les Invalides,1900.0,apartment,2601.0,5.0,2.0,2.0,1480000.0,103
Paris VIe - Saint Sulpice,1850.0,apartment,2601.0,5.0,3.0,2.0,1480000.0,77
Paris 18 - Amazing apartment with a private garden in the heart of Montmartre,1960.0,apartment,1452.0,4.0,2.0,1.0,1469999.0,71
Apartment,1880.0,apartment,2432.0,3.0,2.0,3.0,1469999.0,94
Apartment,1935.0,apartment,1812.0,5.0,2.0,2.0,1450000.0,98
Open-plan family flat - Vaugirard - Paris 15th,1914.0,apartment,2601.0,5.0,3.0,2.0,1450000.0,130
Victor Hugo/rue de la Pompe,1900.0,apartment,2350.0,5.0,2.0,2.0,1390000.0,88
Family duplex - Paris 4th - Rambuteau district,1800.0,Duplex Homes,932.0,5.0,4.0,2.0,1390000.0,125
EXCLUSIVITÃ‰ - Paris 1er - Louvre /Rivoli - Charmant appartement Familial,1800.0,apartment,2601.0,5.0,4.0,3.0,1390000.0,106
Paris 7 - Gros Caillou/Saint Dominique,1920.0,apartment,1249.0,5.0,2.0,2.0,1390000.0,91
PARIS XVI - Family apartment - 4 bedrooms,1931.0,apartment,4582.0,6.0,4.0,5.0,1390000.0,150
Paris XVI - La Fontaine - Castel BÃ©ranger,1898.0,apartment,2601.0,4.0,1.0,2.0,1380000.0,83
Appartement vue dÃ©gagÃ©e,1956.0,apartment,2601.0,5.0,2.0,2.0,1374999.0,117
Apartment,1880.0,apartment,1336.0,5.0,2.0,2.0,1360000.0,56
Apartment,1880.0,apartment,1336.0,5.0,1.0,2.0,1360000.0,56
Pereire / Batignolles,1930.0,apartment,2476.0,5.0,2.0,3.0,1354999.0,127
Garden level in a building with swimming pool.,1780.0,apartment,890.0,2.0,1.0,2.0,1349999.0,43
Magnificent renovated 2-room apartment - Eiffel Tower view - Gros Caillou,1881.0,apartment,1087.0,5.0,1.0,1.0,1349999.0,50
Duplex,2021.0,Duplex Homes,1710.0,4.0,2.0,3.0,1348999.0,76
PARIS - GROS CAILLOUX - EIFFEL TOWER,1898.0,apartment,1571.0,3.0,2.0,2.0,1299999.0,74
Saint Thomas d'Aquin - Appartement avec vue et balcon.,1932.0,apartment,1534.0,5.0,1.0,2.0,1295000.0,65
Paris 7 - Bon marchÃ© - 2 bedrooms,1880.0,apartment,2114.0,5.0,2.0,2.0,1290000.0,73
Paris XVI- Flandrin - exceptional 'Pied Ã terre',1907.0,apartment,2601.0,2.0,1.0,2.0,1290000.0,60
Paris II - Contemporary apartment with open views on a high floor,1870.0,apartment,1130.0,5.0,3.0,3.0,1290000.0,100
Paris IX - Charming apartment on a high floor with a large long balcony,1966.0,apartment,1484.0,5.0,2.0,4.0,1270000.0,100
Paris 7th - Gros Caillou - 1 Bedroom,1949.0,apartment,2601.0,2.0,1.0,2.0,1259999.0,49
Paris 16th Victor Hugo,1870.0,apartment,2616.0,5.0,3.0,1.0,1250000.0,106
Place Saint-Georges / Rue des Martyrs - Bright 2 bedrooms apartment,1860.0,apartment,2601.0,5.0,2.0,1.0,1234999.0,95
Apartment,1830.0,apartment,1308.0,5.0,2.0,3.0,1234999.0,94
Beautiful 3-room apartment with balcony - Hoche / Monceau,1935.0,apartment,2030.0,3.0,1.0,2.0,1200000.0,76
Garden flat with gardens and terraces - Paris 12th - Daumesnil,2006.0,apartment,2180.0,5.0,3.0,4.0,1200000.0,128
Appartement terrasse - Village d' Auteuil Ã PARIS XVI,2004.0,apartment,1775.0,5.0,1.0,2.0,1189999.0,78
PARIS - SAINT GERMAIN DES PRES,1800.0,apartment,2601.0,2.0,1.0,2.0,1189999.0,47
Appartement terrasse - Village d' Auteuil Ã PARIS XVI,2004.0,apartment,1775.0,5.0,1.0,2.0,1189999.0,78
Paris XVI - Muette : Entirely renovated elegant and modern apartment,1952.0,apartment,1971.0,5.0,2.0,3.0,1165999.0,89
Paris 16 - Duplex dernier Ã©tage avec terrasse de plain pied et vue Tour Eiffel -,1962.0,apartment,2601.0,4.0,2.0,2.0,1150000.0,98
Paris 11 - Chemin Vert,1850.0,apartment,2601.0,5.0,2.0,3.0,1150000.0,87
Perfect pied-Ã -terre close to Rue Cler Market,1890.0,apartment,2601.0,3.0,2.0,3.0,1150000.0,61
Paris 6 - St Germain des PrÃ¨s - Pied-Ã -terre rÃ©novÃ© - 2 Chambres,1949.0,apartment,2314.0,5.0,2.0,2.0,1139999.0,63
Paris 6th - Saint-Germain-des-PrÃ©s / Rue Bonaparte,1993.0,apartment,1722.0,5.0,1.0,2.0,1119999.0,61
DERNIER ETAGE - VUE TOUS MONUMENTS,1955.0,apartment,2045.0,4.0,2.0,2.0,1105000.0,81
Apartment,1900.0,apartment,2601.0,3.0,2.0,2.0,1099999.0,74
