,Address,Postal_code,Arrondissement,Area,Price,Bedroom,Occupants,Floor,Elevator,Available_date,Description,Arrondissement_Name
2314,Bonne Nouvelle - Paris,75002,2,40,2419,1,4,5,0.0,09-01-2024,"This 40 square meters , 1 Bedroom, apartment is located on rue Poissonniere in the 2nd arrondissement, on the 5 th French floor of a 19th century walk up building and it sleeps 2 people. This apartment is equipped with : washer, dryer, dishwasher, cable, TV, unlimited high speed internet access with the wifi.",Bourse
2315,Arc de Triomphe - Paris,75017,17,21,1290,1,1,2,0.0,09-01-2024,"This charming 21 square meters , Studio, apartment is located on rue Brey in the 17th arrondissement, on the 2 nd French floor of a 19th century walk up building and it sleeps 1 people. This apartment is equipped with : washer, dryer, cable, TV, unlimited high speed internet access with the wifi, decorative fireplace.",Batignolles-Monceau
2316,Ranelagh - Paris,75016,16,52,1774,1,2,4,1.0,09-02-2024,"This 52 square meters , 1 Bedroom, apartment is located on avenue emile Bergerat in the 16th arrondissement, on the 4 th French floor of a 20th century building and it sleeps 2 people. This apartment is equipped with : washer, dishwasher, cable, TV, unlimited high speed internet access, balcony, phone, DVD.",Passy
2317,Saint-Germain-des-Prés - Paris,75007,7,35,1828,1,2,1,0.0,09-02-2024,"This charming 38 square meters , 1 Bedroom, apartment is located on rue de Beaune in the 7th arrondissement, on the 1 st French floor of a 20th century walk up building and it sleeps 2 people. This apartment is equipped with : washer, TV, unlimited high speed internet access with the wifi.",Palais-Bourbon
2318,République - Paris,75011,11,18,1200,1,2,0,0.0,09-03-2024,"This delightful and tastefully decorated 18 square meters , Studio, apartment is located on avenue de la Republique in the 11th arrondissement, on the ground floor of a 19th century building and it sleeps 2 people. This apartment is equipped with : washer, dryer, dishwasher, cable, TV, unlimited high speed internet access, DVD.",Popincourt
2319,Parc André Citroën - Paris,75015,15,42,1720,1,2,7,1.0,now,"This elegant 42 square meters , 1 Bedroom, apartment is located on rue Sebastien Mercier in the 15th arrondissement, on the 7 th French floor of a 20th century building and it sleeps 2 people. This apartment is equipped with : washer, cable, TV, unlimited high speed internet access, terrace, balcony, phone.",Vaugirard
2320,Montmartre - Sacré Coeur - Paris,75018,18,35,2527,2,4,2,0.0,09-05-2024,"This beautiful 35 square meters , 2 Bedroom, apartment is located on rue Muller in the 18th arrondissement, on the 2 nd French floor of a 19th century walk up building and it sleeps 6 people. This apartment is equipped with : washer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, phone, decorative fireplace.",Butte-Montmartre
2321,Montmartre - Sacré Coeur - Paris,75018,18,33,1613,1,2,0,0.0,now,"This charming 34 square meters , Alcove Studio, apartment is located on rue Cauchois in the 18th arrondissement, on the ground floor of a 19th century walk up building and it sleeps 2 people. This apartment is equipped with : washer, TV, unlimited high speed internet access, terrace.",Butte-Montmartre
2322,Bonne Nouvelle - Paris,75002,2,40,2200,1,4,5,0.0,09-10-2024,"This charming 40 square meters , 1 Bedroom, apartment is located on rue Poissonniere in the 2nd arrondissement, on the 5 th French floor of a 19th century walk up building and it sleeps 2 people. This apartment is equipped with : washer, dryer, dishwasher, TV, unlimited high speed internet access with the wifi.",Bourse
2323,Place de Clichy - Paris,75017,17,28,1349,1,2,2,1.0,09-11-2024,"This bright and charming 28 square meters , Alcove Studio, apartment is located on rue La Condamine in the 17th arrondissement, on the 2 nd French floor of a 20th century building and it sleeps 2 people. This apartment is equipped with : washer, dishwasher, TV, unlimited high speed internet access with the wifi.",Batignolles-Monceau
2324,Convention - Paris,75015,15,25,1251,1,1,7,1.0,now,"This modern and tastefully decorated 25 square meters , Studio, apartment is located on rue Duranton in the 15th arrondissement, on the 7 th French floor of a 20th century building and it sleeps 1 people. This apartment is equipped with : washer, TV, unlimited high speed internet access with the wifi, phone, DVD.",Vaugirard
2325,Champs de Mars - Tour Eiffel - Paris,75016,16,30,1409,1,2,4,1.0,09/24/2024,"This charming and delightful 30 square meters , Studio, apartment is located on avenue Paul Doumer in the 16th arrondissement, on the 4 th French floor of a 20th century building and it sleeps 2 people. This apartment is equipped with : washer, dishwasher, TV, cable, unlimited high speed internet access with the wifi.",Passy
2326,Saint-Germain-des-Prés - Paris,75006,6,35,1935,1,2,3,0.0,09/24/2024,"This 35 square meters , 1 Bedroom, apartment is located on rue Bonaparte in the 6th arrondissement, on the 3 rd French floor of a 19th century walk up building and it sleeps 2 people. This apartment is equipped with : washer, dishwasher, cable, TV, unlimited high speed internet access, decorative fireplace.",Luxembourg
2327,Champs-Élysées - Paris,75008,8,161,9677,3,6,1,1.0,10-01-2024,"This beautiful and comfortable 161 square meters , 3 Bedroom, apartment is located on avenue Franklin D. Roosevelt in the 8th arrondissement, on the 1 st French floor of a 20th century building and it sleeps 6 people. This apartment is equipped with : unlimited high speed internet access/wifi, washer, dryer, dishwasher, cable, TV, unlimited high speed internet access, phone, DVD, stereo, decorative fireplace, printer.",Élysée
2328,Alésia - Paris,75014,14,62,1935,1,4,4,1.0,now,"This cozy 62 square meters , 1 Bedroom, apartment is located on rue Friant in the 14th arrondissement, on the 4 th French floor of a 20th century building and it sleeps 4 people. This apartment is equipped with : washer, dryer, dishwasher, TV, balcony, unlimited high speed internet access with the wifi.",Observatoire
2329,Champs de Mars - Tour Eiffel - Paris,75016,16,57,2258,1,4,9,1.0,now,"This luminous 57 square meters , 1 Bedroom, apartment is located on rue de la Pompe in the 16th arrondissement, on the 9 th French floor of a 20th century building and it sleeps 2 people. This apartment is equipped with : washer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, balcony, phone.",Passy
2330,Porte Dauphine - Paris,75016,16,50,2097,1,4,1,1.0,10-01-2024,"This modern and elegant 50 square meters 1 Bedroom apartment is located on rue des Belles Feuilles in the 16th arrondissement, on the 1st French floor of a 19th century walk up building and it sleeps 4 people. This apartment is equipped with : washer, dryer, unlimited high speed internet access, phone, stereo, cable, TV, DVD.",Passy
2331,Odéon - Paris,75006,6,50,2100,1,2,6,1.0,10-01-2024,"This cozy 50 square meters , 1 Bedroom, apartment is located on rue de Conde in the 6th arrondissement, on the 6 th French floor of a 19th century building and it sleeps 2 people. This apartment is equipped with : washer, dishwasher, TV, unlimited high speed internet access with the wifi.",Luxembourg
2332,Bastille - Paris,75011,11,36,1398,1,2,6,1.0,10-02-2024,"This charming 36 square meters , Studio, apartment is located on rue Paul Bert in the 11th arrondissement, on the 6 th French floor of a 20th century building and it sleeps 2 people. This apartment is equipped with : washer, dishwasher, TV, unlimited high speed internet access, phone.",Popincourt
